ID_ARTICOL,ARTICOL,DATA,CANTITATE,VAL_IESIRE_CU_TVA,VAL_IESIRE_FARA_TVA,VAL_INTRARE_FARA_TVA_STOC,TOTAL_DISCOUNT,FLAG_PROMOTIE,ADAOS,STOC,STOC_INITIAL,STOC_FINAL,RUPTURA_STOC
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,03-Feb-23,3,91.77,84.18,55.8,0,0,28.38,198,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,03-Feb-23,110,537.9,493.87,376.200001,0,0,117.669999,531,,,0
6937,BANANE CALITATEA I.,03-Feb-23,89.044,711.41,652.63,582.392278,0,0,70.237722,202.512,,,0
6937,BANANE CALITATEA I.,04-Feb-23,84.106,672.02,616.47,594.810403,0,0,21.659597,202.512,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,04-Feb-23,81,396.09,363.69,277.02,0,0,86.67,531,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,04-Feb-23,2,61.18,56.12,37.2,0,0,18.92,198,,,0
8259,CARNE PORC LUCRU,04-Feb-23,44.58,735.1,674.39,557.060583,0,0,117.329417,9.954,,,0
8259,CARNE PORC LUCRU,05-Feb-23,31.538,520.08,477.15,425.763001,0,0,51.386999,9.954,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,05-Feb-23,81,396.09,363.69,277.02,0,0,86.67,531,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,05-Feb-23,2,61.18,56.12,37.2,0,0,18.92,198,,,0
6937,BANANE CALITATEA I.,05-Feb-23,103.082,823.59,755.56,735.500375,0,0,20.059625,202.512,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,06-Feb-23,98,479.22,440,335.159991,0,0,104.840009,531,,,0
8259,CARNE PORC LUCRU,06-Feb-23,210.028,3148.36,2888.38,2835.377999,315.042,1,53.002001,9.954,,,0
6937,BANANE CALITATEA I.,06-Feb-23,131.294,1049.06,962.43,936.795821,0,0,25.634179,202.512,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,06-Feb-23,2,61.18,56.12,37.2,0,0,18.92,198,,,0
8259,CARNE PORC LUCRU,07-Feb-23,236.356,3542.95,3250.38,3189.555998,354.534,1,60.824002,9.954,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,07-Feb-23,91,444.99,408.57,311.220007,0,0,97.349993,531,,,0
7784,CLEMENTINE CALITATEA I,07-Feb-23,1.008,5.03,4.61,4.161427,1.008,1,0.448573,1175.383,,,0
6937,BANANE CALITATEA I.,07-Feb-23,94.226,752.88,690.7,672.311928,0,0,18.388072,202.512,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,07-Feb-23,1,30.59,28.06,18.6,0,0,9.46,198,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,08-Feb-23,100,489,448.98,342.000004,0,0,106.979996,531,,,0
8259,CARNE PORC LUCRU,08-Feb-23,188.158,2820.56,2587.66,2540.132996,282.237,1,47.527004,9.954,,,0
6937,BANANE CALITATEA I.,08-Feb-23,136.69,1092.22,1002.02,975.387471,0,0,26.632529,202.512,,,0
6937,BANANE CALITATEA I.,09-Feb-23,92.722,778.9,714.49,661.580748,0,0,52.909252,202.512,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,09-Feb-23,85,415.65,381.65,290.7,0,0,90.95,531,,,0
8259,CARNE PORC LUCRU,09-Feb-23,158.301,2372.93,2176.97,2137.037494,237.4515,1,39.932506,9.954,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,10-Feb-23,1,30.59,28.06,18.6,0,0,9.46,198,,,0
6937,BANANE CALITATEA I.,10-Feb-23,110.472,937.94,860.54,773.785561,0,0,86.754439,202.512,,,0
8259,CARNE PORC LUCRU,10-Feb-23,445.254,6674.37,6123.3,6010.929,667.881,1,112.371,9.954,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,10-Feb-23,116,567.24,520.78,396.720004,0,0,124.059996,531,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,11-Feb-23,63,308.07,282.85,215.460007,0,0,67.389993,531,,,0
8259,CARNE PORC LUCRU,11-Feb-23,124.652,1868.61,1714.32,1682.802,186.978,1,31.518,9.954,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,11-Feb-23,4,122.36,112.24,74.4,0,0,37.84,198,,,0
6937,BANANE CALITATEA I.,11-Feb-23,67.338,571.72,524.59,447.703423,0,0,76.886577,202.512,,,0
8259,CARNE PORC LUCRU,12-Feb-23,60.952,913.69,838.24,822.852,91.428,1,15.388,9.954,,,0
6937,BANANE CALITATEA I.,12-Feb-23,77.81,660.64,606.12,517.327564,0,0,88.792436,202.512,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,12-Feb-23,98,479.22,440,335.160007,0,0,104.839993,531,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,13-Feb-23,109,533.01,489.41,372.78,0,0,116.63,531,,,0
6937,BANANE CALITATEA I.,13-Feb-23,57.39,487.2,447.02,381.563154,0,0,65.456846,202.512,,,0
8259,CARNE PORC LUCRU,13-Feb-23,1.68,25.18,23.1,22.68,2.52,1,0.42,9.954,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,13-Feb-23,2,61.18,56.12,37.2,0,0,18.92,198,,,0
6937,BANANE CALITATEA I.,14-Feb-23,100.106,849.98,779.82,665.564749,0,0,114.255251,202.512,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,14-Feb-23,2,61.18,56.12,37.2,0,0,18.92,198,,,0
